Channel1,Channel2,Channel3,Channel4,Channel5,Channel6,Channel7,Channel8
4095
,2361
,2361
,,1151
,,1151
,,,438
,,,438
,,,,1151
,,,,1151
,,,,,1023
,,,,,1023
,,,,,,0
,,,,,,0
,,,,,,,0
,,,,,,,0
4095
4095
,2361
,2361
,,1151
,,1151
,,,432
,,,432
,,,,1151
,,,,1151
,,,,,1023
,,,,,1023
,,,,,,0
,,,,,,0
,,,,,,,0
,,,,,,,0
4095
4095
,2367
,2367
,,1151
,,1151
,,,433
,,,433
,,,,1151
,,,,1151
,,,,,1023
,,,,,1023
,,,,,,0
,,,,,,0
,,,,,,,0
,,,,,,,0
4095
4095
,2367
,2367
,,1151
,,1151
,,,432
,,,432
,,,,1151
,,,,1151
,,,,,1022
,,,,,1022
,,,,,,0
,,,,,,0
,,,,,,,0
,,,,,,,0
4095
4095
,2367
,2367
,,1151
,,1151
,,,433
,,,433
,,,,1151
,,,,1151
,,,,,1023
,,,,,1023
,,,,,,0
,,,,,,0
,,,,,,,0
,,,,,,,0
4095
4095
,2367
,2367
,,1151
,,1151
,,,435
,,,435
,,,,1151
,,,,1151
,,,,,1023
,,,,,1023
,,,,,,0
,,,,,,0
,,,,,,,0
,,,,,,,0
4095
4095
,2367
,2367
,,1151
,,1151
,,,433
,,,433
,,,,1151
,,,,1151
,,,,,1023
,,,,,1023
,,,,,,0
,,,,,,0
,,,,,,,0
,,,,,,,0
4095
4095
,2367
,2367
,,1151
,,1151
,,,434
,,,434
,,,,1151
,,,,1151
,,,,,1023
,,,,,1023
,,,,,,0
,,,,,,0
,,,,,,,0
,,,,,,,0
4095
4095
,2367
,2367
,,1151
,,1151
,,,437
,,,437
,,,,1150
,,,,1150
,,,,,1023
,,,,,1023
,,,,,,0
,,,,,,0
,,,,,,,0
,,,,,,,0
4095
4095
,2367
,2367
,,1151
,,1151
,,,433
,,,433
,,,,1151
,,,,1151
,,,,,1023
,,,,,1023
,,,,,,0
,,,,,,0
,,,,,,,0
,,,,,,,0
4095
4095
,2367
,2367
,,1151
,,1151
,,,435
,,,435
,,,,1151
,,,,1151
,,,,,1023
,,,,,1023
,,,,,,0
,,,,,,0
,,,,,,,0
,,,,,,,0
4095
4095
,2367
,2367
,,1151
,,1151
,,,435
,,,435
,,,,1151
,,,,1151
,,,,,1023
